epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,230.351,0.56909,0.65632,0.39912,0.86362,0.99536,0.96733,0.9934,0.86988,0.99073,0.96283,0.99247,0.80163,0.52599,0.84603,0.35695,0.85018,0.0011684,0.0011684,0.0011684
44,235.288,0.56812,0.61212,0.38482,0.84959,0.98927,0.97748,0.99437,0.87554,0.97266,0.98649,0.99221,0.81787,0.52549,0.87378,0.35633,0.84782,0.0011486,0.0011486,0.0011486
45,240.221,0.56003,0.61894,0.39579,0.85689,0.98208,0.98721,0.99446,0.87022,0.96911,0.99099,0.99315,0.80591,0.53871,0.80047,0.36252,0.85602,0.0011288,0.0011288,0.0011288
46,245.165,0.53729,0.62568,0.37811,0.84852,0.97822,0.98649,0.99423,0.88453,0.96859,0.98649,0.99256,0.81608,0.52171,0.79547,0.34297,0.84887,0.001109,0.001109,0.001109
47,250.074,0.54965,0.62915,0.37806,0.8446,0.97774,0.98919,0.99446,0.88395,0.97774,0.98919,0.99446,0.82214,0.50039,0.80809,0.33965,0.84024,0.0010892,0.0010892,0.0010892
48,254.986,0.58748,0.66525,0.4152,0.85513,0.99074,0.96338,0.99346,0.87384,0.9861,0.95887,0.99175,0.79635,0.51231,0.85555,0.36642,0.8431,0.0010694,0.0010694,0.0010694
49,259.919,0.59804,0.64594,0.40825,0.85748,0.98646,0.9849,0.99408,0.8825,0.98646,0.9849,0.99408,0.8053,0.50834,0.80372,0.35609,0.84368,0.0010496,0.0010496,0.0010496
50,264.842,0.52907,0.60937,0.3696,0.83528,0.98207,0.98663,0.99464,0.88883,0.98636,0.97702,0.99438,0.82265,0.52406,0.8223,0.33628,0.84526,0.0010298,0.0010298,0.0010298
51,269.758,0.50395,0.59412,0.36044,0.83572,0.99351,0.98649,0.99469,0.88286,0.99087,0.97724,0.99397,0.82434,0.50949,0.81437,0.32742,0.83525,0.00101,0.00101,0.00101
52,274.679,0.50824,0.58773,0.35894,0.84276,0.99098,0.98977,0.99347,0.88292,0.98206,0.98654,0.99303,0.81997,0.50362,0.84093,0.33658,0.8342,0.0009902,0.0009902,0.0009902
53,279.559,0.53794,0.59763,0.36517,0.83996,0.98812,0.97748,0.99262,0.87826,0.98338,0.97297,0.99215,0.80952,0.51128,0.84055,0.33851,0.8336,0.0009704,0.0009704,0.0009704
54,284.445,0.54315,0.59231,0.37327,0.8467,0.97689,0.98198,0.99235,0.88228,0.97564,0.97297,0.99122,0.8079,0.50576,0.83221,0.3523,0.83035,0.0009506,0.0009506,0.0009506
55,289.664,0.5672,0.61243,0.38248,0.84892,0.97971,0.98649,0.99433,0.88716,0.97524,0.98198,0.99347,0.82634,0.48232,0.8142,0.32698,0.82713,0.0009308,0.0009308,0.0009308
56,294.732,0.55931,0.59053,0.37236,0.85139,0.98051,0.99099,0.99432,0.88452,0.97605,0.98649,0.99348,0.80872,0.48512,0.80475,0.3381,0.8304,0.000911,0.000911,0.000911
57,299.656,0.52053,0.61594,0.3585,0.84756,0.99091,0.98195,0.99327,0.8889,0.98182,0.97294,0.9917,0.82992,0.49682,0.82008,0.32785,0.83374,0.0008912,0.0008912,0.0008912
58,304.621,0.54026,0.63933,0.36327,0.85138,0.9909,0.98101,0.99319,0.89109,0.98556,0.97297,0.99025,0.83117,0.50087,0.8187,0.32149,0.83183,0.0008714,0.0008714,0.0008714
59,309.601,0.53288,0.6624,0.36391,0.85383,0.98567,0.99099,0.99354,0.88356,0.98758,0.97748,0.99218,0.82873,0.5185,0.81531,0.33253,0.84745,0.0008516,0.0008516,0.0008516
60,314.552,0.55648,0.64065,0.3752,0.84955,0.97317,0.98042,0.9938,0.88302,0.94812,0.98786,0.99309,0.83471,0.50485,0.83447,0.33288,0.83329,0.0008318,0.0008318,0.0008318
61,319.53,0.52384,0.62141,0.36697,0.83568,0.96503,0.99457,0.99349,0.89751,0.98512,0.97297,0.9934,0.82634,0.47527,0.83272,0.31639,0.82705,0.000812,0.000812,0.000812
62,324.612,0.52606,0.56798,0.36468,0.84844,1,0.9673,0.99451,0.87912,0.99534,0.96285,0.99315,0.80496,0.51524,0.89571,0.31596,0.83053,0.0007922,0.0007922,0.0007922
63,329.534,0.48681,0.55231,0.3434,0.83036,0.967,0.99099,0.99368,0.8897,0.98199,0.96847,0.99355,0.81393,0.46979,0.85881,0.31852,0.83245,0.0007724,0.0007724,0.0007724
64,334.465,0.51135,0.6071,0.34473,0.83704,0.98203,0.98443,0.99391,0.90039,0.97753,0.97993,0.99315,0.83777,0.46845,0.82796,0.32248,0.8258,0.0007526,0.0007526,0.0007526
65,339.569,0.50708,0.58221,0.34067,0.84016,0.99539,0.97232,0.99442,0.89664,0.98194,0.97982,0.99405,0.81952,0.48015,0.85333,0.31998,0.83243,0.0007328,0.0007328,0.0007328
66,344.625,0.47978,0.57166,0.33485,0.84051,0.98207,0.98665,0.99464,0.88992,0.98207,0.98665,0.9945,0.81058,0.45968,0.85122,0.31138,0.82355,0.000713,0.000713,0.000713
67,349.581,0.49399,0.55836,0.34168,0.83442,0.99097,0.98832,0.99486,0.88039,0.99462,0.98198,0.99478,0.79868,0.46785,0.81335,0.32162,0.82133,0.0006932,0.0006932,0.0006932
68,354.645,0.50862,0.5773,0.34823,0.8512,0.9935,0.98198,0.99478,0.88988,0.98911,0.98198,0.99459,0.81806,0.47759,0.81573,0.31319,0.82867,0.0006734,0.0006734,0.0006734
69,359.689,0.48296,0.54071,0.34035,0.82082,0.98614,0.9955,0.99473,0.89939,0.98374,0.98649,0.99455,0.82854,0.46187,0.81252,0.30571,0.82876,0.0006536,0.0006536,0.0006536
70,364.659,0.5109,0.5637,0.34253,0.85069,0.99453,0.9955,0.99491,0.88938,0.99003,0.99099,0.99482,0.81765,0.48041,0.826,0.30193,0.82731,0.0006338,0.0006338,0.0006338
71,369.599,0.50144,0.58035,0.33621,0.83998,0.99897,0.99099,0.995,0.89131,0.99443,0.98649,0.99465,0.81283,0.46448,0.8221,0.30951,0.82168,0.000614,0.000614,0.000614
72,374.611,0.49432,0.56326,0.3479,0.84301,0.99548,0.99151,0.99495,0.89928,0.99095,0.987,0.99468,0.83089,0.44724,0.813,0.29904,0.81657,0.0005942,0.0005942,0.0005942
73,379.548,0.46536,0.5437,0.31641,0.82954,0.98221,0.99468,0.99413,0.89341,0.98108,0.99099,0.99459,0.8125,0.46121,0.8555,0.30625,0.81963,0.0005744,0.0005744,0.0005744
74,384.504,0.47578,0.57581,0.3196,0.83611,0.99547,0.99004,0.99491,0.90484,0.99094,0.98554,0.99459,0.82206,0.44295,0.80876,0.29501,0.81719,0.0005546,0.0005546,0.0005546
75,389.423,0.48522,0.56824,0.32605,0.83272,0.99755,0.98198,0.99482,0.9076,0.97728,0.99099,0.99455,0.8392,0.45559,0.8141,0.2886,0.81993,0.0005348,0.0005348,0.0005348
